# COMMON COMMAND SEQUENCE PATTERNS
# Format: FULL_SEQUENCE	CATEGORY	FREQUENCY

SHOW ME MY DISK SPACE	DISK	50
CHECK DISK SPACE	DISK	48
HOW MUCH DISK SPACE DO I HAVE	DISK	45
SHOW DISK USAGE	DISK	42
CHECK DISK USAGE	DISK	40
LIST ALL DISKS	DISK	38
SHOW ALL PARTITIONS	DISK	35
INSTALL A PACKAGE	PACKAGE	55
REMOVE A PACKAGE	PACKAGE	50
UPDATE ALL PACKAGES	PACKAGE	60
UPGRADE THE SYSTEM	PACKAGE	58
LIST INSTALLED PACKAGES	PACKAGE	45
SEARCH FOR PACKAGE	PACKAGE	43
CHECK NETWORK STATUS	NETWORK	52
FIX MY WIFI	NETWORK	55
CONNECT TO WIFI	NETWORK	53
SHOW NETWORK INTERFACES	NETWORK	48
CHECK INTERNET CONNECTION	NETWORK	50
TEST NETWORK CONNECTIVITY	NETWORK	47
INSTALL NVIDIA DRIVER	DRIVER	65
INSTALL GRAPHICS DRIVER	DRIVER	60
FIX GRAPHICS DRIVER	DRIVER	58
UPDATE GRAPHICS DRIVER	DRIVER	55
CHECK GRAPHICS DRIVER	DRIVER	50
START A SERVICE	SERVICE	45
STOP A SERVICE	SERVICE	43
RESTART A SERVICE	SERVICE	47
CHECK SERVICE STATUS	SERVICE	50
LIST ALL SERVICES	SERVICE	44
FIND A FILE	FILE	48
SEARCH FOR FILE	FILE	46
COPY A FILE	FILE	42
MOVE A FILE	FILE	40
DELETE A FILE	FILE	38
LIST ALL FILES	FILE	45
CHECK SYSTEM STATUS	SYSTEM	50
SHOW SYSTEM INFO	SYSTEM	48
CHECK MEMORY USAGE	SYSTEM	47
CHECK CPU USAGE	SYSTEM	46
LIST RUNNING PROCESSES	SYSTEM	44
HOW DO I INSTALL PACKAGE	HELP	55
HOW DO I FIX ERROR	HELP	52
HOW CAN I CHECK STATUS	HELP	48
WHAT IS MY IP ADDRESS	HELP	50

# QUESTION VARIATIONS
HOW DO I INSTALL PACKAGE	QUESTION	10
HOW DO I INSTALL SERVICE	QUESTION	10
HOW DO I INSTALL DRIVER	QUESTION	10
HOW DO I INSTALL NETWORK	QUESTION	10
HOW DO I INSTALL WIFI	QUESTION	10
HOW DO I INSTALL BLUETOOTH	QUESTION	10
HOW DO I INSTALL PRINTER	QUESTION	10
HOW DO I INSTALL USB	QUESTION	10
HOW DO I INSTALL DISK	QUESTION	10
HOW DO I INSTALL PARTITION	QUESTION	10
HOW DO I INSTALL FILE	QUESTION	10
HOW DO I INSTALL FOLDER	QUESTION	10
HOW DO I REMOVE PACKAGE	QUESTION	10
HOW DO I REMOVE SERVICE	QUESTION	10
HOW DO I REMOVE DRIVER	QUESTION	10
HOW DO I REMOVE NETWORK	QUESTION	10
HOW DO I REMOVE WIFI	QUESTION	10
HOW DO I REMOVE BLUETOOTH	QUESTION	10
HOW DO I REMOVE PRINTER	QUESTION	10
HOW DO I REMOVE USB	QUESTION	10
HOW DO I REMOVE DISK	QUESTION	10
HOW DO I REMOVE PARTITION	QUESTION	10
HOW DO I REMOVE FILE	QUESTION	10
HOW DO I REMOVE FOLDER	QUESTION	10
HOW DO I UPDATE PACKAGE	QUESTION	10
HOW DO I UPDATE SERVICE	QUESTION	10
HOW DO I UPDATE DRIVER	QUESTION	10
HOW DO I UPDATE NETWORK	QUESTION	10
HOW DO I UPDATE WIFI	QUESTION	10
HOW DO I UPDATE BLUETOOTH	QUESTION	10
HOW DO I UPDATE PRINTER	QUESTION	10
HOW DO I UPDATE USB	QUESTION	10
HOW DO I UPDATE DISK	QUESTION	10
HOW DO I UPDATE PARTITION	QUESTION	10
HOW DO I UPDATE FILE	QUESTION	10
HOW DO I UPDATE FOLDER	QUESTION	10
HOW DO I CONFIGURE PACKAGE	QUESTION	10
HOW DO I CONFIGURE SERVICE	QUESTION	10
HOW DO I CONFIGURE DRIVER	QUESTION	10
HOW DO I CONFIGURE NETWORK	QUESTION	10
HOW DO I CONFIGURE WIFI	QUESTION	10
HOW DO I CONFIGURE BLUETOOTH	QUESTION	10
HOW DO I CONFIGURE PRINTER	QUESTION	10
HOW DO I CONFIGURE USB	QUESTION	10
HOW DO I CONFIGURE DISK	QUESTION	10
HOW DO I CONFIGURE PARTITION	QUESTION	10
HOW DO I CONFIGURE FILE	QUESTION	10
HOW DO I CONFIGURE FOLDER	QUESTION	10
HOW DO I FIX PACKAGE	QUESTION	10
HOW DO I FIX SERVICE	QUESTION	10
HOW DO I FIX DRIVER	QUESTION	10
HOW DO I FIX NETWORK	QUESTION	10
HOW DO I FIX WIFI	QUESTION	10
HOW DO I FIX BLUETOOTH	QUESTION	10
HOW DO I FIX PRINTER	QUESTION	10
HOW DO I FIX USB	QUESTION	10
HOW DO I FIX DISK	QUESTION	10
HOW DO I FIX PARTITION	QUESTION	10
HOW DO I FIX FILE	QUESTION	10
HOW DO I FIX FOLDER	QUESTION	10
HOW DO I CHECK PACKAGE	QUESTION	10
HOW DO I CHECK SERVICE	QUESTION	10
HOW DO I CHECK DRIVER	QUESTION	10
HOW DO I CHECK NETWORK	QUESTION	10
HOW DO I CHECK WIFI	QUESTION	10
HOW DO I CHECK BLUETOOTH	QUESTION	10
HOW DO I CHECK PRINTER	QUESTION	10
HOW DO I CHECK USB	QUESTION	10
HOW DO I CHECK DISK	QUESTION	10
HOW DO I CHECK PARTITION	QUESTION	10
HOW DO I CHECK FILE	QUESTION	10
HOW DO I CHECK FOLDER	QUESTION	10
HOW DO I FIND PACKAGE	QUESTION	10
HOW DO I FIND SERVICE	QUESTION	10
HOW DO I FIND DRIVER	QUESTION	10
HOW DO I FIND NETWORK	QUESTION	10
HOW DO I FIND WIFI	QUESTION	10
HOW DO I FIND BLUETOOTH	QUESTION	10
HOW DO I FIND PRINTER	QUESTION	10
HOW DO I FIND USB	QUESTION	10
HOW DO I FIND DISK	QUESTION	10
HOW DO I FIND PARTITION	QUESTION	10
HOW DO I FIND FILE	QUESTION	10
HOW DO I FIND FOLDER	QUESTION	10
HOW DO I SETUP PACKAGE	QUESTION	10
HOW DO I SETUP SERVICE	QUESTION	10
HOW DO I SETUP DRIVER	QUESTION	10
HOW DO I SETUP NETWORK	QUESTION	10
HOW DO I SETUP WIFI	QUESTION	10
HOW DO I SETUP BLUETOOTH	QUESTION	10
HOW DO I SETUP PRINTER	QUESTION	10
HOW DO I SETUP USB	QUESTION	10
HOW DO I SETUP DISK	QUESTION	10
HOW DO I SETUP PARTITION	QUESTION	10
HOW DO I SETUP FILE	QUESTION	10
HOW DO I SETUP FOLDER	QUESTION	10
HOW DO I ENABLE PACKAGE	QUESTION	10
HOW DO I ENABLE SERVICE	QUESTION	10
HOW DO I ENABLE DRIVER	QUESTION	10
HOW DO I ENABLE NETWORK	QUESTION	10
HOW DO I ENABLE WIFI	QUESTION	10
HOW DO I ENABLE BLUETOOTH	QUESTION	10
HOW DO I ENABLE PRINTER	QUESTION	10
HOW DO I ENABLE USB	QUESTION	10
HOW DO I ENABLE DISK	QUESTION	10
HOW DO I ENABLE PARTITION	QUESTION	10
HOW DO I ENABLE FILE	QUESTION	10
HOW DO I ENABLE FOLDER	QUESTION	10
HOW DO I DISABLE PACKAGE	QUESTION	10
HOW DO I DISABLE SERVICE	QUESTION	10
HOW DO I DISABLE DRIVER	QUESTION	10
HOW DO I DISABLE NETWORK	QUESTION	10
HOW DO I DISABLE WIFI	QUESTION	10
HOW DO I DISABLE BLUETOOTH	QUESTION	10
HOW DO I DISABLE PRINTER	QUESTION	10
HOW DO I DISABLE USB	QUESTION	10
HOW DO I DISABLE DISK	QUESTION	10
HOW DO I DISABLE PARTITION	QUESTION	10
HOW DO I DISABLE FILE	QUESTION	10
HOW DO I DISABLE FOLDER	QUESTION	10
HOW DO I START PACKAGE	QUESTION	10
HOW DO I START SERVICE	QUESTION	10
HOW DO I START DRIVER	QUESTION	10
HOW DO I START NETWORK	QUESTION	10
HOW DO I START WIFI	QUESTION	10
HOW DO I START BLUETOOTH	QUESTION	10
HOW DO I START PRINTER	QUESTION	10
HOW DO I START USB	QUESTION	10
HOW DO I START DISK	QUESTION	10
HOW DO I START PARTITION	QUESTION	10
HOW DO I START FILE	QUESTION	10
HOW DO I START FOLDER	QUESTION	10
HOW DO I STOP PACKAGE	QUESTION	10
HOW DO I STOP SERVICE	QUESTION	10
