# WORD TRIGRAM PREDICTIONS
# Format: WORD1	WORD2	WORD3	FREQUENCY

SHOW	ME	MY	20
SHOW	ME	ALL	18
SHOW	MY	DISK	15
SHOW	MY	NETWORK	15
SHOW	MY	FILES	15
SHOW	DISK	SPACE	20
SHOW	DISK	USAGE	18
CHECK	DISK	SPACE	20
CHECK	DISK	USAGE	18
CHECK	NETWORK	STATUS	17
LIST	ALL	PACKAGES	16
LIST	ALL	SERVICES	16
LIST	ALL	FILES	14
LIST	INSTALLED	PACKAGES	18
INSTALL	NVIDIA	DRIVER	25
INSTALL	GRAPHICS	DRIVER	22
INSTALL	THE	PACKAGE	15
REMOVE	THE	PACKAGE	15
UPDATE	THE	SYSTEM	20
UPDATE	ALL	PACKAGES	18
UPGRADE	THE	SYSTEM	19
FIX	THE	ERROR	17
FIX	MY	WIFI	16
FIX	MY	NETWORK	16
START	THE	SERVICE	17
STOP	THE	SERVICE	17
RESTART	THE	SERVICE	18
ENABLE	THE	SERVICE	15
DISABLE	THE	SERVICE	15
CONNECT	TO	WIFI	20
CONNECT	TO	NETWORK	18
DISCONNECT	FROM	WIFI	17
MOUNT	THE	DISK	16
UNMOUNT	THE	DISK	16
OPEN	THE	FILE	14
CREATE	NEW	FILE	15
DELETE	THE	FILE	14
COPY	THE	FILE	15
MOVE	THE	FILE	15
FIND	MY	FILE	17
SEARCH	FOR	FILE	16
HOW	DO	I	25
HOW	CAN	I	23
HOW	TO	INSTALL	22
HOW	TO	FIX	21
HOW	TO	REMOVE	18
WHAT	IS	MY	20
WHAT	IS	THE	19
WHERE	IS	MY	18
WHERE	IS	THE	17
WHY	IS	MY	19
WHY	CANT	I	20
WHY	WONT	MY	18
CAN	I	INSTALL	16
CAN	I	REMOVE	14
CAN	YOU	HELP	17
CAN	YOU	SHOW	16
